Business,Category,City,State,Priority,Digital_gap_signal,Source,Phone,Website,Address,Google_Maps_URL,Contact_Page_URL,Email,Enrichment_Status,Enrichment_Notes,Yelp_URL,Search_Query
Belvedere Tax Group,Accounting/Tax,Baltimore,MD,A,Search snippet reported 'no website at all' (verify),https://www.yelp.com/biz/belvedere-tax-group-baltimore,,,,,,,,,https://www.yelp.com/biz/belvedere-tax-group-baltimore,Belvedere Tax Group Baltimore MD
John F Tredway CPA,Accounting/Tax,Gaithersburg,MD,A,Verify web + secure doc workflow,https://www.yelp.com/biz/john-f-tredway-cpa-gaithersburg,,,,,,,,,https://www.yelp.com/biz/john-f-tredway-cpa-gaithersburg,John F Tredway CPA Gaithersburg MD
G M Financial Services,Accounting/Financial Services,Gaithersburg,MD,A,Verify online intake + appointment automation,https://www.yelp.com/biz/g-m-financial-services-gaithersburg-2,,,,,,,,,https://www.yelp.com/biz/g-m-financial-services-gaithersburg-2,G M Financial Services Gaithersburg MD
Prudent Mechanical,Home Services (HVAC/Appliance),Randallstown,MD,A,"Review mentions 'No website, no emails...' (from prior research)",https://www.yelp.com/biz/prudent-mechanical-randallstown,,,,,,,,,https://www.yelp.com/biz/prudent-mechanical-randallstown,Prudent Mechanical Randallstown MD
ECCO Air,Home Services (HVAC),Annapolis,MD,A,"Review mentions 'No website, no working phone number'",https://www.yelp.com/biz/ecco-air-annapolis,,,,,,,,,https://www.yelp.com/biz/ecco-air-annapolis,ECCO Air Annapolis MD
Ultimate Appliance Repair,Home Services (Appliance Repair),Glen Burnie,MD,A,Review mentions 'No website' (from prior research),https://www.yelp.com/biz/ultimate-appliance-repair-glen-burnie-2,,,,,,,,,https://www.yelp.com/biz/ultimate-appliance-repair-glen-burnie-2,Ultimate Appliance Repair Glen Burnie MD
Fix My Appliance Repairs,Home Services (Appliance Repair),Chantilly,VA,A,Review mentions 'no website' / weak footprint (from prior research),https://www.yelp.com/biz/fix-my-appliance-repairs-chantilly,,,,,,,,,https://www.yelp.com/biz/fix-my-appliance-repairs-chantilly,Fix My Appliance Repairs Chantilly VA
Coastal Breeze Heating & Cooling,Home Services (HVAC),Chesapeake,VA,A,Review mentions 'no website — just Facebook page' (from prior research),https://www.yelp.com/biz/coastal-breeze-heating-and-cooling-chesapeake,,,,,,,,,https://www.yelp.com/biz/coastal-breeze-heating-and-cooling-chesapeake,Coastal Breeze Heating & Cooling Chesapeake VA
Dir Lawn and Landscape,Home Services (Landscaping),Woodbridge,VA,A,Review mentions 'no website' (from prior research),https://www.yelp.com/biz/dir-lawn-and-landscape-woodbridge,,,,,,,,,https://www.yelp.com/biz/dir-lawn-and-landscape-woodbridge,Dir Lawn and Landscape Woodbridge VA
Priority Septic,Home Services (Septic),Suffolk,VA,A,Review mentions 'No website' (from prior research),https://www.yelp.com/biz/priority-septic-suffolk,,,,,,,,,https://www.yelp.com/biz/priority-septic-suffolk,Priority Septic Suffolk VA
Kidwell Fencing & Home Improvements,Home Services (Fencing),Stephens City,VA,A,Review mentions 'no website' (from prior research),https://www.yelp.com/biz/kidwell-fencing-and-home-improvements-stephens-city,,,,,,,,,https://www.yelp.com/biz/kidwell-fencing-and-home-improvements-stephens-city,Kidwell Fencing & Home Improvements Stephens City VA
Quality Electric,Home Services (Electrician),Colonial Beach,VA,A,Review mentions 'no website listed' (from prior research),https://www.yelp.com/biz/quality-electric-colonial-beach,,,,,,,,,https://www.yelp.com/biz/quality-electric-colonial-beach,Quality Electric Colonial Beach VA
Rawlings Electric,Home Services (Electrician),Colonial Beach,VA,A,Review mentions 'no website listed' (from prior research),https://www.yelp.com/biz/rawlings-electric-colonial-beach,,,,,,,,,https://www.yelp.com/biz/rawlings-electric-colonial-beach,Rawlings Electric Colonial Beach VA
Prince Georges Towing,Auto Services (Towing),Beltsville,MD,A,Verify online dispatch + reviews→call automation,https://www.yelp.com/biz/prince-georges-towing-beltsville-2,,,,,,,,,https://www.yelp.com/biz/prince-georges-towing-beltsville-2,Prince Georges Towing Beltsville MD
Black Sicilian,Restaurant (Italian),Upper Marlboro,MD,B (secondary),Review mentions 'No website ordering',https://www.yelp.com/biz/black-sicilian-upper-marlboro-2,,,,,,,,,https://www.yelp.com/biz/black-sicilian-upper-marlboro-2,Black Sicilian Upper Marlboro MD
Remedy Columbia,Med Spa / Wellness,Columbia,MD,A,Verify online booking + membership automation,https://www.yelp.com/biz/remedy-columbia-columbia,,,,,,,,,https://www.yelp.com/biz/remedy-columbia-columbia,Remedy Columbia Columbia MD
Nazar Financial Services,Accounting/Financial Services,Gaithersburg,MD,A,Verify intake + appointment flow,https://www.yelp.com/biz/nazar-financial-services-gaithersburg,,,,,,,,,https://www.yelp.com/biz/nazar-financial-services-gaithersburg,Nazar Financial Services Gaithersburg MD
D&A Tax and Accounting Services,Accounting/Tax,Gaithersburg,MD,A,Verify secure upload + reminders,https://www.yelp.com/biz/d-and-a-tax-and-accounting-services-gaithersburg,,,,,,,,,https://www.yelp.com/biz/d-and-a-tax-and-accounting-services-gaithersburg,D&A Tax and Accounting Services Gaithersburg MD
"Rocha & Co, PC",Accounting/Tax,Gaithersburg,MD,A,Verify portal + automation,https://www.yelp.com/biz/rocha-and-co-pc-gaithersburg,,,,,,,,,https://www.yelp.com/biz/rocha-and-co-pc-gaithersburg,"Rocha & Co, PC Gaithersburg MD"
