Business,Category,City,State,Priority,Digital_gap_signal,Source
Maryland Tax Service,Accounting/Tax,Gaithersburg,MD,A,Verify online intake + document portal + automation,https://www.yelp.com/biz/maryland-tax-service-gaithersburg-3
CWP Consulting,Accounting/Tax,Washington,DC,A,Review mentions 'They have no website',https://www.yelp.com/biz/cwp-consulting-washington
Tax and Accounting Professional,Accounting/Tax,Chevy Chase,MD,A,Verify online intake + secure client portal,https://www.yelp.com/biz/tax-and-accounting-professional-chevy-chase-2
Belvedere Tax Group,Accounting/Tax,Baltimore,MD,A,Search snippet reported 'no website at all' (verify),https://www.yelp.com/biz/belvedere-tax-group-baltimore
John F Tredway CPA,Accounting/Tax,Gaithersburg,MD,A,Verify web + secure doc workflow,https://www.yelp.com/biz/john-f-tredway-cpa-gaithersburg
G M Financial Services,Accounting/Financial Services,Gaithersburg,MD,A,Verify online intake + appointment automation,https://www.yelp.com/biz/g-m-financial-services-gaithersburg-2
Prudent Mechanical,Home Services (HVAC/Appliance),Randallstown,MD,A,"Review mentions 'No website, no emails...' (from prior research)",https://www.yelp.com/biz/prudent-mechanical-randallstown
ECCO Air,Home Services (HVAC),Annapolis,MD,A,"Review mentions 'No website, no working phone number'",https://www.yelp.com/biz/ecco-air-annapolis
Ultimate Appliance Repair,Home Services (Appliance Repair),Glen Burnie,MD,A,Review mentions 'No website' (from prior research),https://www.yelp.com/biz/ultimate-appliance-repair-glen-burnie-2
Fix My Appliance Repairs,Home Services (Appliance Repair),Chantilly,VA,A,Review mentions 'no website' / weak footprint (from prior research),https://www.yelp.com/biz/fix-my-appliance-repairs-chantilly
Coastal Breeze Heating & Cooling,Home Services (HVAC),Chesapeake,VA,A,Review mentions 'no website — just Facebook page' (from prior research),https://www.yelp.com/biz/coastal-breeze-heating-and-cooling-chesapeake
Dir Lawn and Landscape,Home Services (Landscaping),Woodbridge,VA,A,Review mentions 'no website' (from prior research),https://www.yelp.com/biz/dir-lawn-and-landscape-woodbridge
Priority Septic,Home Services (Septic),Suffolk,VA,A,Review mentions 'No website' (from prior research),https://www.yelp.com/biz/priority-septic-suffolk
Kidwell Fencing & Home Improvements,Home Services (Fencing),Stephens City,VA,A,Review mentions 'no website' (from prior research),https://www.yelp.com/biz/kidwell-fencing-and-home-improvements-stephens-city
Quality Electric,Home Services (Electrician),Colonial Beach,VA,A,Review mentions 'no website listed' (from prior research),https://www.yelp.com/biz/quality-electric-colonial-beach
Rawlings Electric,Home Services (Electrician),Colonial Beach,VA,A,Review mentions 'no website listed' (from prior research),https://www.yelp.com/biz/rawlings-electric-colonial-beach
Prince Georges Towing,Auto Services (Towing),Beltsville,MD,A,Verify online dispatch + reviews→call automation,https://www.yelp.com/biz/prince-georges-towing-beltsville-2
Black Sicilian,Restaurant (Italian),Upper Marlboro,MD,B (secondary),Review mentions 'No website ordering',https://www.yelp.com/biz/black-sicilian-upper-marlboro-2
Remedy Columbia,Med Spa / Wellness,Columbia,MD,A,Verify online booking + membership automation,https://www.yelp.com/biz/remedy-columbia-columbia
Nazar Financial Services,Accounting/Financial Services,Gaithersburg,MD,A,Verify intake + appointment flow,https://www.yelp.com/biz/nazar-financial-services-gaithersburg
D&A Tax and Accounting Services,Accounting/Tax,Gaithersburg,MD,A,Verify secure upload + reminders,https://www.yelp.com/biz/d-and-a-tax-and-accounting-services-gaithersburg
"Rocha & Co, PC",Accounting/Tax,Gaithersburg,MD,A,Verify portal + automation,https://www.yelp.com/biz/rocha-and-co-pc-gaithersburg
