Hot and Spicy Restaurant,"3010 N. Market St, Wilmington, DE 19802",N/A (Need to find),Restaurant,N/A
Al Chu's Sushi,N/A (Need to find),N/A (Need to find),Sushi Restaurant,N/A
Village Sub Shop,"2020 N Market St, Wilmington DE",N/A (Need to find),Sub Shop,N/A
Bites & Slice,"629 W 4th Street, Wilmington, DE 19801",N/A (Need to find),Restaurant,N/A
Cactus Cantina,N/A (Need to find),N/A (Need to find),Restaurant,N/A
Delicias Del Paladar,N/A (Need to find),N/A (Need to find),Restaurant,N/A
First Step Social Club,"801 North Shipley Street, Wilmington, DE 19801",N/A (Need to find),Social Club,N/A
Seventh Street Deli & Grocery,"307 W 7th St, Wilmington, DE 19801",N/A (Need to find),Deli/Grocery,N/A
El Mana Restaurant,N/A (Need to find),N/A (Need to find),Restaurant,N/A
Fry Corner,"2106 N. Market, Wilmington, DE 19802",N/A (Need to find),Restaurant,N/A
Jerry Deen's,N/A (Need to find),N/A (Need to find),Restaurant,N/A
Tokyo Sushi,"3 South Orange Street, Wilmington, DE 19801",N/A (Need to find),Sushi Restaurant,N/A
Bain's Deli,"1313 N. Market St, Wilmington, DE 19801",N/A (Need to find),Deli,N/A
Drop Squad Kitchen,N/A (Need to find),N/A (Need to find),Restaurant,N/A

